symbol,ts,price,volume,exchange
AAPL,1700000000000,110.0,4606,NYSE
MSFT,1700000000328,394.59,9035,NYSE
TSLA,1700000001032,112.71,1635,NYSE
SPY,1700000001370,340.81,9295,NYSE
SPY,1700000002203,267.81,7459,NASDAQ
AAPL,1700000003131,403.52,2715,NASDAQ
GOOG,1700000003579,162.19,5614,NYSE
TSLA,1700000003773,138.69,5735,NASDAQ
AAPL,1700000004699,391.89,8885,NYSE
AAPL,1700000005186,320.82,6025,NYSE
AAPL,1700000006007,118.33,3833,NASDAQ
MSFT,1700000006188,446.59,6327,NASDAQ
GOOG,1700000006752,165.06,5920,NYSE
GOOG,1700000007538,380.73,1269,NYSE
MSFT,1700000008184,165.36,6316,NASDAQ
SPY,1700000008939,187.85,5413,NYSE
AAPL,1700000009273,422.02,6672,NASDAQ
MSFT,1700000009440,465.25,9392,NASDAQ
TSLA,1700000009757,258.25,7617,NYSE
MSFT,1700000010128,198.65,9297,NASDAQ
SPY,1700000010992,271.37,9660,NASDAQ
MSFT,1700000011462,498.93,2366,NASDAQ
AAPL,1700000011655,444.44,2604,NYSE
TSLA,1700000012566,338.56,6404,NASDAQ
TSLA,1700000013276,311.65,9164,NYSE
AAPL,1700000014072,372.68,8897,NASDAQ
GOOG,1700000014959,144.62,7223,NYSE
AAPL,1700000015523,481.53,4415,NYSE
AAPL,1700000016142,448.21,4989,NYSE
GOOG,1700000016398,405.0,8937,NYSE
GOOG,1700000017111,295.44,1932,NASDAQ
GOOG,1700000018110,195.78,4046,NYSE
TSLA,1700000018297,426.41,8827,NYSE
TSLA,1700000018528,478.74,2805,NASDAQ
SPY,1700000019168,269.26,3570,NYSE
GOOG,1700000019998,259.6,6218,NASDAQ
TSLA,1700000020627,148.4,3781,NYSE
AAPL,1700000021073,335.32,3870,NYSE
AAPL,1700000021180,383.14,1064,NYSE
AAPL,1700000021349,443.85,1260,NYSE
TSLA,1700000021734,185.69,2267,NASDAQ
TSLA,1700000022082,423.0,3219,NYSE
TSLA,1700000022281,241.72,6835,NASDAQ
AAPL,1700000023265,369.35,1712,NYSE
GOOG,1700000023777,420.24,1890,NYSE
MSFT,1700000024073,314.51,2396,NASDAQ
GOOG,1700000024360,285.05,1335,NASDAQ
SPY,1700000025287,139.16,8956,NYSE
MSFT,1700000025482,166.52,8056,NASDAQ
TSLA,1700000025800,460.98,2797,NASDAQ
TSLA,1700000025902,206.08,7554,NASDAQ
SPY,1700000026435,364.75,8073,NYSE
GOOG,1700000026729,187.08,1058,NYSE
GOOG,1700000027594,122.87,9671,NASDAQ
SPY,1700000028208,162.97,8420,NYSE
MSFT,1700000029179,127.41,1213,NYSE
AAPL,1700000029692,476.64,9433,NYSE
SPY,1700000030384,115.9,1443,NASDAQ
SPY,1700000031157,326.09,5283,NASDAQ
GOOG,1700000031466,195.47,6584,NYSE
GOOG,1700000032253,282.89,1288,NYSE
SPY,1700000032822,499.38,1738,NYSE
MSFT,1700000033472,302.35,2270,NASDAQ
MSFT,1700000033642,247.81,2684,NASDAQ
SPY,1700000034595,381.42,8766,NYSE
SPY,1700000035378,219.75,1797,NYSE
AAPL,1700000035748,455.89,9164,NYSE
GOOG,1700000036126,341.93,5717,NYSE
GOOG,1700000036929,302.16,4214,NYSE
TSLA,1700000037123,431.74,822,NYSE
MSFT,1700000037564,354.85,4391,NYSE
TSLA,1700000038423,320.67,7107,NYSE
AAPL,1700000038637,478.02,2542,NYSE
GOOG,1700000039591,333.0,2526,NASDAQ
AAPL,1700000039821,223.3,753,NASDAQ
MSFT,1700000040136,366.77,5894,NASDAQ
MSFT,1700000040871,470.31,3978,NYSE
MSFT,1700000041790,452.57,506,NYSE
GOOG,1700000042644,412.95,6845,NYSE
