symbol,bars,avg_close,max_high,min_low,total_vol
RELTD.NS,252,nan,196.45,114.5926,105826130
REPL.NS,250,nan,168.0,59.0,3731868
ROLEXRINGS.NS,251,nan,189.4,99.79,686299036
RSL.NS,123,nan,192.77,101.7,100407507
RUPA.NS,250,nan,212.84,109.21,54559681
SAGCEM.NS,250,nan,289.7,145.5,20996766
SAKSOFT.NS,252,168.47972222222222,224.75,107.59,450520661
SALZERELEC.NS,251,658.8336653386455,952.5,488.8,33185259
SAMHI.NS,251,172.95585657370518,217.97,127.0,247119966
SANDESH.NS,249,nan,1270.0,811.0,364771
SANSERA.NS,251,2361.809166135458,4170.0,1364.2,55570817
SAYAJIIND.NS,19,nan,124.0,106.5,28058
SBFC.NS,251,98.22067729083663,123.0,79.6,498068927
SECURKLOUD.NS,250,nan,34.18,15.6,12139275
MAXESTATES.NS,251,nan,579.0,305.45,30048238
MAXHEALTH.NS,251,nan,1221.9,903.0,708552921
MEDICAMEQ.NS,250,302.82956,447.65,212.4,9187228
MEDICO.NS,250,nan,56.88,30.22,84520159
MIIL.NS,19,nan,742.9,666.55,1580476
MINDACORP.NS,250,597.7043999999999,769.0,468.5,141785806
MMP.NS,249,nan,485.0,185.2,10380948
MPSLTD.NS,249,nan,2979.0,1336.1,9161250
MSUMI.NS,251,nan,53.59,35.7,2319917833
NATHBIOGEN.NS,250,159.20432,204.0,126.15,6320778
NAVA.NS,251,592.7725099601595,739.4,501.65,121258506
NCLIND.NS,250,nan,215.22,147.5,19010752
NDL.NS,252,nan,3.75,1.8,416920361
NIACL.NS,252,167.54896825396827,242.6,116.97,894947205
NIBL.NS,251,30.902470119521908,40.8,25.3,13993105
NTPC.NS,252,353.6053571428572,414.4,315.55,2594469700
OMFREIGHT.NS,233,nan,114.33,58.95,25124152
ONEGLOBAL.NS,19,nan,580.0,494.0,389339
ORIENTBELL.NS,250,nan,424.95,246.55,5247065
PACEDIGITK.NS,236,188.41190677966105,231.95,139.81,491106209
PARSVNATH.NS,250,nan,18.75,1.35,205051466
PAYTM.NS,251,1245.3788844621515,1840.0,930.6,862722548
PERSISTENT.NS,252,nan,6599.0,4244.5,159511292
PIGL.NS,251,121.9219920318725,189.7,88.05,17945532
POONAWALLA.NS,252,nan,570.4,361.2,503400658
PPAP.NS,249,nan,379.5,176.0,16640535
PRABHA.NS,251,nan,262.8,137.91,44517913
PROZONER.NS,250,nan,72.77,39.55,189172066
SKIPPER.NS,251,472.3312749003985,616.8,327.05,155855850
SOFTTECH.NS,249,nan,489.9,215.0,1538226
SOLEX.NS,250,nan,1985.0,651.2,13671315
INDOMIM.NS,32,881.6062499999999,1028.5,700.0,195873614
INDOWIND.NS,250,nan,18.94,7.0,133924491
INDSWFTLAB.NS,250,155.94512000000003,404.0,87.15,207832083
INOXWIND.NS,252,105.67964285714284,159.3,68.0,2861800369
JIOFIN.NS,251,264.83067729083666,321.6,223.3,3462502919
KAKATCEM.NS,250,nan,165.55,85.0,1516690
KANCHI.NS,19,nan,435.0,359.95,67617
KHAICHEM.NS,250,nan,135.8,42.92,71332924
KIRANVYPAR.NS,19,nan,212.0,194.0,92312
KOLTEPATIL.NS,249,389.84959839357435,554.6,292.25,41868443
KPITTECH.NS,252,887.3924603174604,1328.0,543.0,482283135
KSCL.NS,250,nan,1225.0,705.1,35817676
LEAPIND.NS,21,155.6652380952381,172.29,136.0,282773824
LLOYDSENGG.NS,251,63.95725099601595,99.75,37.4,2038862188
LPDC.NS,250,nan,9.46,5.23,21145693
LXCHEM.NS,251,nan,241.0,107.6,272140060
MAANALU.NS,250,nan,184.74,103.01,38102388
MANAKCOAT.NS,250,124.12104000000001,182.82,94.2,178856767
MANORAMA.NS,251,nan,2149.5,1060.6,52503354
GVKPIL.NS,251,nan,4.06,2.04,171451477
HAL.NS,251,nan,5149.8999,3479.1001,292813936
HDFCLIFE.NS,252,660.4103174603174,796.9,508.7,845652732
HINDCOMPOS.NS,249,430.84759036144584,550.0,347.1,1983193
HONAUT.NS,249,nan,41495.0,26220.0,1805793
SAB.NS,16,176.591875,192.6,165.0,1345
IGL.NS,251,nan,223.5,141.74,728879756
SOUTHBANK.NS,252,nan,49.9,28.5,5637842677
SOUTHWEST.NS,251,203.31278884462142,275.0,121.0,71092096
SPCENET.NS,250,nan,11.24,3.0,246635041
SPORTKING.NS,250,nan,241.51,78.17,92749524
SUMEDHA.NS,19,nan,45.0,36.6,57671
SUPRIYA.NS,250,756.3878000000001,1085.0,545.5,78189784
TALBROAUTO.NS,252,nan,451.6,219.9,51776200
TANLA.NS,252,544.7470238095241,766.0,365.9,219693106
TARAPUR.NS,250,nan,39.99,12.11,9858813
TATACHEM.NS,252,750.7430555555553,1026.65,580.3,217094778
TATVA.NS,252,1325.7837301587301,1838.1,981.5,31288619
TEJASNET.NS,252,489.6458333333334,644.75,294.0,1554886184
TIINDIA.NS,251,2834.2605561752985,3419.8999,2164.8999,96008814
TRIGYN.NS,250,nan,102.4,37.55,12621026
TRUALT.NS,24,453.85833333333335,494.0,413.65,6278866
TTML.NS,252,45.28123015873014,60.62,31.22,1174869310
TURTLEMINT.NS,24,137.82375,160.0,110.41,57238204
TVSSCS.NS,24,128.3345833333333,141.0,120.4,67381737
UNIENTER.NS,24,95.56291666666665,99.75,92.7,118375
UNITECH.NS,24,3.9825000000000004,4.31,3.67,104923642
URJA.NS,24,9.4225,10.39,8.95,15519834
UTKARSHBNK.NS,24,14.433749999999998,15.24,13.85,127418765
UTTAMSUGAR.NS,24,287.0166666666667,359.3,239.1,13103445
VALIANTLAB.NS,24,87.09458333333333,110.7,60.0,4423398
VENUSPIPES.NS,24,1596.4916666666668,1725.0,1527.1,2724005
VSTTILLERS.NS,24,4411.0125125,4709.0,4128.0,278922
VTL.NS,24,596.9229166666667,637.85,567.0,31785335
VTMLTD.NS,19,46.41263157894736,61.9,22.95,678169
WEBELSOLAR.NS,24,83.84375,98.49,73.08,58763388
YASHO.NS,24,4284.8166625,4994.0,3952.8,1794422
ZOTA.NS,24,1144.1166666666666,1309.0,1022.0,2271175
5PAISA.NS,251,335.19031872509953,416.95,245.5,43653674
AARNAV.NS,135,26.617185185185182,37.4,21.0,12083553
ABB.NS,251,nan,7924.5,4637.5,82639426
ABREL.NS,252,1466.928174603174,1965.3,1080.1,57466081
ALGOQUANT.NS,172,59.941337209302326,71.01,47.8,205969820
ALLCARGO.NS,252,13.591785714285715,36.55,7.11,2205073883
ALUFLUOR.NS,19,nan,509.9,430.0,136137
APARINDS.NS,251,11341.213147410359,18465.0,6801.0,29797540
APEX.NS,251,nan,514.5,219.86,229553651
APLLTD.NS,251,813.552988047809,998.0,635.8,31906640
APOLSINHOT.NS,249,nan,1450.1,950.0,349369
ASTRON.NS,250,nan,17.17,2.87,17626587
ATLANTAA.NS,250,nan,73.39,31.52,46520436
AUSOMENT.NS,250,nan,178.0,93.0,6261532
AUTOAXLES.NS,250,nan,2115.0,1540.2,2961952
AVADHSUGAR.NS,250,461.93279999999993,884.8,306.05,27938174
AVG.NS,250,nan,264.43,116.66,12048529
AWL.NS,251,nan,282.9,171.19,827221180
BASF.NS,252,nan,4829.8999,3122.2,6472078
BATAINDIA.NS,252,nan,1282.5,605.0,69524842
BHARATRAS.NS,250,nan,2987.5,1150.1,5936134
BIMETAL.NS,106,nan,750.75,470.9,91823
BOSCHLTD.NS,251,nan,50000.0,28610.0,8196559
BPCL.NS,252,331.0611111111111,391.65,266.6,2127564817
CAPACITE.NS,251,245.26015936254979,334.0,180.0,126406397
CAPILLARY.NS,204,553.941911764706,798.95,438.15,291557703
CESC.NS,251,165.8695617529881,204.5,138.12,557183267
CEWATER.NS,251,360.5051792828685,539.9,235.0,28068691
CHOICEIN.NS,251,nan,860.5,568.7,159986383
