symbol,window_start,open,high,low,close,volume
AAPL,2024-01-01T09:30:00Z,137.96,138.3,137.54,137.89,794963
AAPL,2024-01-02T09:30:00Z,137.89,138.47,136.9,138.42,153035
AAPL,2024-01-03T09:30:00Z,138.42,140.6,136.33,136.87,692002
AAPL,2024-01-04T09:30:00Z,136.87,137.43,136.4,136.97,714867
AAPL,2024-01-05T09:30:00Z,136.97,137.56,136.61,136.92,254721
MSFT,2024-01-01T09:30:00Z,257.73,260.8,254.0,260.69,236306
MSFT,2024-01-02T09:30:00Z,260.69,263.51,259.64,260.07,127032
MSFT,2024-01-03T09:30:00Z,260.07,260.76,256.73,259.91,717457
MSFT,2024-01-04T09:30:00Z,259.91,261.59,255.62,255.93,877747
MSFT,2024-01-05T09:30:00Z,255.93,258.08,251.39,251.82,570050
GOOG,2024-01-01T09:30:00Z,255.6,258.22,251.05,254.66,744986
GOOG,2024-01-02T09:30:00Z,254.66,254.88,253.56,254.7,646781
GOOG,2024-01-03T09:30:00Z,254.7,256.24,252.88,252.98,602248
GOOG,2024-01-04T09:30:00Z,252.98,257.27,250.08,250.86,847006
GOOG,2024-01-05T09:30:00Z,250.86,255.42,246.21,246.95,737846
TSLA,2024-01-01T09:30:00Z,129.67,130.0,128.7,129.46,846746
TSLA,2024-01-02T09:30:00Z,129.46,130.3,129.45,129.9,575755
TSLA,2024-01-03T09:30:00Z,129.9,131.21,128.42,130.63,219971
TSLA,2024-01-04T09:30:00Z,130.63,132.86,129.72,132.13,855855
TSLA,2024-01-05T09:30:00Z,132.13,134.42,130.62,133.99,533914
SPY,2024-01-01T09:30:00Z,167.79,169.31,165.83,166.16,547494
SPY,2024-01-02T09:30:00Z,166.16,167.2,163.68,167.04,820184
SPY,2024-01-03T09:30:00Z,167.04,170.12,163.92,169.08,197758
SPY,2024-01-04T09:30:00Z,169.08,170.54,168.22,169.08,236435
SPY,2024-01-05T09:30:00Z,169.08,170.96,167.68,169.52,445658
